stderr: Reading additional input from stdin...
stderr: 2026-06-27T14:22:50.596366Z  WARN codex_core_plugins::manifest: ignoring interface.defaultPrompt[0]: prompt must be at most 128 characters path=/private/var/folders/9l/_wztzgbx7mgc7l1r0416cy7m0000gn/T/thesis-codex-home-z_1k2kkl/.tmp/plugins/plugins/ngs-analysis/.codex-plugin/plugin.json
stderr: 2026-06-27T14:22:50.597742Z  WARN codex_core_plugins::manifest: ignoring interface.defaultPrompt[0]: prompt must be at most 128 characters path=/private/var/folders/9l/_wztzgbx7mgc7l1r0416cy7m0000gn/T/thesis-codex-home-z_1k2kkl/.tmp/plugins/plugins/ngs-analysis/.codex-plugin/plugin.json
stderr: 2026-06-27T14:22:54.908219Z  WARN codex_core_plugins::manifest: ignoring interface.defaultPrompt[0]: prompt must be at most 128 characters path=/private/var/folders/9l/_wztzgbx7mgc7l1r0416cy7m0000gn/T/thesis-codex-home-z_1k2kkl/.tmp/plugins/plugins/ngs-analysis/.codex-plugin/plugin.json
stderr: 2026-06-27T14:22:54.929216Z  WARN codex_core_skills::loader: ignoring interface.icon_small: icon path with '..' must resolve under plugin assets/
stderr: 2026-06-27T14:22:54.929244Z  WARN codex_core_skills::loader: ignoring interface.icon_large: icon path with '..' must resolve under plugin assets/
stderr: 2026-06-27T14:22:54.929971Z  WARN codex_core_skills::loader: ignoring interface.icon_small: icon path with '..' must resolve under plugin assets/
stderr: 2026-06-27T14:22:54.930038Z  WARN codex_core_skills::loader: ignoring interface.icon_large: icon path with '..' must resolve under plugin assets/
stderr: 2026-06-27T14:22:54.930754Z  WARN codex_core_skills::loader: ignoring interface.icon_small: icon path with '..' must resolve under plugin assets/
stderr: 2026-06-27T14:22:54.930773Z  WARN codex_core_skills::loader: ignoring interface.icon_large: icon path with '..' must resolve under plugin assets/
stderr: 2026-06-27T14:22:54.931419Z  WARN codex_core_skills::loader: ignoring interface.icon_small: icon path with '..' must resolve under plugin assets/
stderr: 2026-06-27T14:22:54.931436Z  WARN codex_core_skills::loader: ignoring interface.icon_large: icon path with '..' must resolve under plugin assets/
stderr: 2026-06-27T14:22:54.932174Z  WARN codex_core_skills::loader: ignoring interface.icon_small: icon path with '..' must resolve under plugin assets/
stderr: 2026-06-27T14:22:54.932234Z  WARN codex_core_skills::loader: ignoring interface.icon_large: icon path with '..' must resolve under plugin assets/
stderr: 2026-06-27T14:22:54.933759Z  WARN codex_core_skills::loader: ignoring interface.icon_small: icon path with '..' must resolve under plugin assets/
stderr: 2026-06-27T14:22:54.933774Z  WARN codex_core_skills::loader: ignoring interface.icon_large: icon path with '..' must resolve under plugin assets/
